Tweet Content,Source,Cleaned_Tweet,Sentiment,Label
$SOL $TRB $ORDI $SEI $OP $MOVR $BSV $USDT $BTC $ETH $ETC $TRX $CAKE $INJ $UNI $BONK $KAS $COQ $CREAM $CAT $MNT $ICP $FTT $VET $IOTA $BCH $ASTR $XLM $XEC $TON https://t.co/15nEZcKGxb,,sol trb ordi sei op movr bsv usdt btc eth etc trx cake inj uni bonk kas coq cream cat mnt icp ftt vet iota bch astr xlm xec ton,0.0,0
@elonmusk What about low productivity private sector jobs like in the health insurance industry? Or does that not count because stock market gains and corporate profits are what you mean by productivity and usefulness?,,low productivity private sector jobs like health insurance industry count stock market gains corporate profits mean productivity usefulness,-0.078125,0
"@FearedBuck It’s not a scam, it’s almost every startup ever. If you didn’t sell at the top early then you shouldn’t be in any sort of stock market or BTC.",,scam almost every startup ever didnt sell top early shouldnt sort stock market btc,0.3,1
The forward stock split by $Bolt Metals Corp. is a strategic move to enhance market participation and liquidity. 💹,,forward stock split bolt metals corp strategic move enhance market participation liquidity,0.0,0
#StockMarket #InvestorRelations $SCHB $ITOT $SPTM #UniswapHack #WORLDBESTHERO $HOOD $MSTR $UNH https://t.co/vD7VOPXcdk,,schb itot sptm hood mstr unh,0.0,0
"@funfacts63 I don't have knowledge of stock market, please tell me",,dont knowledge stock market please tell,0.0,0
@kaps_chartist @SarangSood Stock market ki ram ram satya hai karke hi dam legi 😡,,stock market ki ram ram satya hai karke hi dam legi,0.0,0
Title: 1. **Tractor Supply Sets Bold Growth Targets: A New Era Begins!**,,title tractor supply sets bold growth targets new era begins,0.23484848484848483,1
2. **Revolutionizing the Market: Tractor Supply's Ambitious Future Unveiled**,,revolutionizing market tractor supplys ambitious future unveiled,0.125,1
3. **5-for-1 Stock Split: Tractor Supply Poised for Explosive Growth!**,,stock split tractor supply poised explosive growth,0.0,0
4. **Tractor Supply's Strategic… https://t.co/dCx4Qi59Dt,,tractor supplys strategic,0.0,0
@sweinand Please Sir 💚,,please sir,0.0,0
Did the US Stock market valuation hit $64 Trillion milestone ?,,us stock market valuation hit trillion milestone,0.0,0
Monopoly Leaders in The Stock Market!🎯 https://t.co/LmGpXHSsLI,,monopoly leaders stock market,0.0,0
"@3NooN65 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@05l960282952052 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@CreadoProceso Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@ZafarHilaly Discuss reasons. as long as ther z no  accountability of robbers, things R not going right. how many times the same story has  been told &amp; celebrated. stock market crossed high levels and cpec is coming gawadr booming bla bla All these good4 media ads but won't do any good 2 pak",,discuss reasons long ther z accountability robbers things r going right many times story told amp celebrated stock market crossed high levels cpec coming gawadr booming bla bla good media ads wont good pak,0.3779591836734694,1
"@trenchviking Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
Stock Picks: RBI पॉलिसी के बाद 1 महीने के लिए इन 5 शेयरों में कमाई का बड़ा मौका- टारगेट करें नोट,,stock picks rbi,0.0,0
#RBIPolicy #RBI #RBICreditPolicy,,,0.0,0
#RBIMPC,,,0.0,0
https://t.co/BRRoRzl6T3,,,0.0,0
BofA's Hartnett sees a 'high' risk the S&amp;P 500 overshoots in Q1 https://t.co/6spY32WGrO,,bofas hartnett sees high risk sampp overshoots q,0.16,1
"@denmanu1989 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
@ajnabi_0179 Stock market me loss hi jyada hota hain,,stock market loss hi jyada hota hain,0.0,0
"@Brinna03 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
Taiwan stock market fluctuates due to strong sector performance,,taiwan stock market fluctuates due strong sector performance,0.15416666666666667,1
https://t.co/28cxFqRR6o,,,0.0,0
"@MrFliper88 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@unusual_whales @TheRoaringKitty The cat plays with its toy, the stock market. I ❤️ it!",,cat plays toy stock market,0.0,0
"@Stormtrader00 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
📌Do we have opportunities in Indian stock market?,,opportunities indian stock market,0.0,0
YES!! 👍🏼,,yes,0.0,0
📌 Are those opportunities buy &amp; hold forever stories like Infy from past?,,opportunities buy amp hold forever stories like infy past,-0.25,0
Jo naye,naye investors- traders hai unke liye 📊,jo naye,0.0,0
SEBI dwara exam karaya jata hai usse de kar apna gyan siddh kare Stock Market me 📈,,sebi dwara exam karaya jata hai usse de kar apna gyan siddh kare stock market,0.0,0
Janakari nahi hai toh DM kar digiye details &amp; link mil jayega 📩♻️,,janakari nahi hai toh dm kar digiye details amp link mil jayega,0.0,0
#StockMarketIndia #SEBI #NISM https://t.co/CVvYe8PULS,,,0.0,0
"#sharemarketindia #StockMarketUpdate #mcxexchangesquare MCX Shares Surge Over 8%, Crossing ₹7,000 Mark for the First Time A major milestone in the stock market as MCX hits new highs. #followus @aarambhnewsoffi  #MCX #StockMarket #MCXshares #Investing #MarketSurge #StocksToWatch https://t.co/kNl5l2UqPn",,mcx shares surge crossing mark first time major milestone stock market mcx hits new highs,0.14962121212121213,1
"@GOBINDA66300151 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
@ajnabi_0179 I don't know about stock market,,dont know stock market,0.0,0
"@SaneMacco Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
@SEBI_India @NSEIndia,,,0.0,0
this case not announced before stock market listing.,,case announced stock market listing,0.0,0
IPO के नाम पे छोटे निवेशकों के साथ मज़ाक किया जा रहा है.,,ipo,0.0,0
@commi_labourGuj श्रम अधिकारी भी शामिल.,,,0.0,0
@suchetadalal,,,0.0,0
@pbhushan1,,,0.0,0
@MoneylifeIndia,,,0.0,0
@MahuaMoitra @LabourMinistry,,,0.0,0
@mansukhmandviya @CMOGuj,,,0.0,0
@CVCIndia https://t.co/JpbMdpJ7C5,,,0.0,0
"@itsjusronniee Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@HodzaNedin71163 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
🚨🇰🇷,,,0.0,0
"In South Korea's crisis playbook, currency stability is paramount",,south koreas crisis playbook currency stability paramount,0.0,0
"The won is down 9% this year against the dollar, while the KOSPI index has shed 8%, both lagging their emerging market peers. Foreign money has been leaving Korea's stock market since August, with outflows in… https://t.co/27T3OABkU0 https://t.co/gif8CcEhK2",,year dollar kospi index shed lagging emerging market peers foreign money leaving koreas stock market since august outflows,-0.125,0
"@PavingBric54302 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
I think we are just in warm-up to a brutal global recession or depression. I have never seen such a bifurcation of economic realities.,,think warmup brutal global recession depression never seen bifurcation economic realities,-0.225,0
Investor reality:,,investor reality,0.0,0
A. The US and some other economies appear to be growing strongly,GDP growth.,us economies appear growing strongly,0.43333333333333335,1
B. The stock market has surged.,,b stock market surged,0.0,0
Citizen… https://t.co/vE0GuqdPWs https://t.co/wGECAsP85R,,citizen,0.0,0
"@JAM4FITU Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@GachevGeorgi Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@mkc020_ Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
Diversify?,,diversify,0.0,0
Let's break down why diversification is so important. Imagine investing all your money in one company stock. If that company hits a rough patch – maybe there's a product recall or a competitor steals their market share – your entire investment could take a nosedive.,,lets break diversification important imagine investing money one company stock company hits rough patch maybe theres product recall competitor steals market share entire investment could take nosedive,0.10000000000000002,1
"@hollywo0d__ Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
@WR4NYGov @dklein09 You guys completely miss the bigger picture:,,guys completely miss bigger picture,0.05,1
"1. Rises and falls in stock is like saying: ""grass is green""",,rises falls stock like saying grass green,-0.2,0
"2. In this type of talk there is an underlying assumption of ""I can time the market"" thinking.",,type talk underlying assumption time market thinking,0.0,0
3. Tesla has proven time and time again that nobody can time Tesla… https://t.co/fFUgLabV7B,,tesla proven time time nobody time tesla,0.0,0
Mistake 5,,mistake,0.0,0
I used to get impressed by low PE stocks,,used get impressed low pe stocks,0.5,1
Learning,"If a long listed stock is still at a comparatively low PE, it must be for a reason",learning,0.0,0
I feel the Low PE kind of approach works for the companies which are not yet discovered in the market and awaiting a disruption,,feel low pe kind approach works companies yet discovered market awaiting disruption,0.3,1
"@veryhoodish Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
I think we are just in warm-up to a brutal global recession or depression. I have never seen such a bifurcation of economic realities.,,think warmup brutal global recession depression never seen bifurcation economic realities,-0.225,0
Investor reality:,,investor reality,0.0,0
A. The US and some other economies appear to be growing strongly,GDP growth.,us economies appear growing strongly,0.43333333333333335,1
B. The stock market has surged.,,b stock market surged,0.0,0
Citizen… https://t.co/hfmTFAmoIa https://t.co/wGECAsP85R,,citizen,0.0,0
@rtwlz @frankieg_baby You need to get a job with FBI or start using your knowledge to make millions...Start analyzing the stock market and give us your picks,,need get job fbi start using knowledge make millionsstart analyzing stock market give us picks,0.0,0
Non conosci ancora InvestingPro? Scopri il potenziale dell’IA applicata ai mercati https://t.co/Tg09szO3Da,,non conosci ancora investingpro scopri il potenziale dellia applicata ai mercati,0.0,0
"@crusnikpt Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
@ajnabi_0179 Thanks  for stock market updates in all categories,,thanks stock market updates categories,0.2,1
"রকেট গতিতে বৃদ্ধি! আজ 8.5% বেড়ে রেকর্ড উচ্চতায় MCX -এর শেয়ার, কেন জানেন?",,mcx,0.0,0
#MCXSharePrice #economictimesbengali,,,0.0,0
https://t.co/G9BHpQzlsM,,,0.0,0
"@CryptoJoker48 Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
"@ememfokoobonsol Thanks for your comments,Make sure you join  Iced Telegram. So you dont miss investment and trading ideas on # Bitcoin # Crypto and the # Stock market.and get to learn more of my trading strategies and successful tips",,thanks commentsmake sure join iced telegram dont miss investment trading ideas bitcoin crypto stock marketand get learn trading strategies successful tips,0.48333333333333334,1
👇👇👇,,,0.0,0
https://t.co/zqH1YelTnE,,,0.0,0
